JobTitle,Company,Location,PostDate,Summary,JobUrl
Junior Data Scientist Full-Time – 2 Year Term (with possibil...,Inuvialuit Regional Corporation,"Inuvik, NT","Posted
Posted 10 days ago","Access, assess and prepare (clean) administrative and survey data sources for use as statistical data.
Identify patterns, trends, and relationships in the data.",https://ca.indeed.com/rc/clk?jk=fba2b4627f75f820&fccid=852c77668f98cdfa&vjs=3
Intern Conversion Only: Analyst - Data Services,WTW,"Toronto, ON","Posted
Posted 1 day ago","Support consultants on an ad-hoc basis providing assistance in data analysis/interpretation.
Support the data loading and data validation process for the…",https://ca.indeed.com/rc/clk?jk=f50ddb4f35415b2f&fccid=7e883e8ff0d69499&vjs=3
"Data Analyst, Reinsurance Operations",Munich Re,"Toronto, ON","Posted
Posted 2 days ago","Progressing towards resolving non routine issues and data related problems.
Analyse the data, product specifications, and treaty parameters.",https://ca.indeed.com/rc/clk?jk=d37a192ba1f6999d&fccid=d4448c192a012f32&vjs=3
Supervisor of Data and Analytics,City of Barrie,Remote,"Posted
Today","This position will support departmental initiatives to advance corporate data assets, the data and analytics program and analytical applications.",https://ca.indeed.com/rc/clk?jk=1df55699b4c33f47&fccid=56897ef9a1dfc87f&vjs=3
"Instructor and curriculum developer, Data Analysis",Branding Academy,"Toronto, ON","Posted
Posted 30+ days ago","5+ years experience in a data analysis role (industry experts welcome).
Experience with multiple data collection software an asset.",https://ca.indeed.com/rc/clk?jk=e595752c6334c0b9&fccid=dd616958bd9ddc12&vjs=3
Entry Level - IBM SAP Data and Analytics Consultant,IBM,"Toronto, ON","Posted
Today","Experience working with development teams to manage data and reporting capabilities.
Experience collecting and analyzing data, with tools such as Qualtrics.",https://ca.indeed.com/rc/clk?jk=29c06749a9ca2e57&fccid=de71a49b535e21cb&vjs=3
Data Clerk,Toronto Film School,"Toronto, ON","Posted
Posted 2 days ago","Work to improve data definitions and data integrity across the department.
+3 years of Data analysis experience.
Full-time . November 1, 2022.",https://ca.indeed.com/rc/clk?jk=e8d4c6b7d5845680&fccid=ab94ce6ae044be18&vjs=3
Senior Data Analyst // Analyste des données senior,Triton Digital Canada Inc.,Remote,"Posted
Today",Apply the fundamental steps of the data analysis process to efficiently analyze the data and produce accurate and actionable insights or results reports.,https://ca.indeed.com/rc/clk?jk=b9b9af64e8af7431&fccid=5d2644e2af1e2e74&vjs=3
Data Analyst // Analyste(e) des données,Triton Digital Canada Inc.,Remote,"Posted
Posted 30+ days ago","1-3 years of data analysis experience.
Analyze data and report on listening trends and consumption habits.
Investigate/research any suspicious or significant…",https://ca.indeed.com/rc/clk?jk=f07c8d70127851ee&fccid=5d2644e2af1e2e74&vjs=3
DATA SPECIALIST,City of Toronto,"Toronto, ON","Posted
Posted 3 days ago","The Data & Analytics unit was established in 2019 to be a hub for data analytics, data science, data collection and data management as part of the Policy &…",https://ca.indeed.com/rc/clk?jk=7109d3fa9af1f898&fccid=f2087b51205d4920&vjs=3
Experienced Systems and Data Analyst,BOEING,"Winnipeg, MB","Posted
Today","Performs research and analysis on processes, applications, systems and data to identify functional requirements for application or system design.",https://ca.indeed.com/rc/clk?jk=e1ea7bc9a84afab9&fccid=edae4285faf6c2f0&vjs=3
Consultant - Data Analytics,Interior Health Authority,British Columbia,"Posted
Posted 4 days ago","Provides advice, analysis, and recommendations on initiatives related to data collection, database development, and data extraction and analysis to internal and…",https://ca.indeed.com/rc/clk?jk=4d7c9acf3e68bff9&fccid=819aaf068231c6d3&vjs=3
Data Scientist,A4 Systems,"Calgary, AB","Posted
Posted 30+ days ago","They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…",https://ca.indeed.com/rc/clk?jk=6ebc1e5bbe0358dd&fccid=6ab3be9937bcbd63&vjs=3
"Manager, Data Analysis",Royal Bank of Canada,"Toronto, ON","Posted
Posted 30+ days ago","Perform data analysis and communicate meaningful insights that inform strategy and action.
Develop reports to detect and trace data anomalies and perform impact…",https://ca.indeed.com/rc/clk?jk=72698a30a22f6588&fccid=537b899e30af3338&vjs=3
Data Analyst,Geotab,"Remote in Oakville, ON","Posted
Today","Familiar with data warehousing, data mining, and data mapping.
Knowledge of statistical methods and data analysis software.",https://ca.indeed.com/rc/clk?jk=629117b6d8b3548c&fccid=31921a4bf53a6026&vjs=3
Data Analyst - Reporting,theScore Inc.,"Toronto, ON","Posted
Posted 3 days ago","Familiarity with analysis tools (R or Python) is an asset.
Ability to understand and report on complex data and handle all edge cases.",https://ca.indeed.com/rc/clk?jk=73346535813bf3c7&fccid=7b0a2583b65814e2&vjs=3
Analyst - Real World Data Analytics,Clarivate,"Remote in Toronto, ON","Posted
Posted 30+ days ago","Ensure accuracy of data analysis and customer deliverables.
Use various data modeling and analysis techniques to discover insights that will guide customer…",https://ca.indeed.com/rc/clk?jk=8b61df19d4a119b5&fccid=39cdc80b98113925&vjs=3
Analyst - Real World Data Analytics,Ex Libris,"Remote in Toronto, ON","Posted
Posted 30+ days ago","Ensure accuracy of data analysis and customer deliverables.
Use various data modeling and analysis techniques to discover insights that will guide customer…",https://ca.indeed.com/rc/clk?jk=a78738899c98a7c7&fccid=412df264474964e0&vjs=3
Data Analyst,Colas,"Markham, ON","Posted
Posted 20 days ago","Work closely with IT partners on data model construction and data analysis.
Build optimized data models that support dashboard requirements, integrating data…",https://ca.indeed.com/rc/clk?jk=2e24d6714a7897bc&fccid=5681263b7f879de6&vjs=3
Student and CO-OP: Data Management and Exploitation,Canadian Security Intelligence Service,"Ottawa, ON","Posted
Posted 30+ days ago","Analyse geospatial data and geographic data.
Experience in policy research, analysis and writing.
Analyse financial data provided by financial institutions and…",https://ca.indeed.com/rc/clk?jk=7e38c69b4b29baa3&fccid=19150974fd7b2a28&vjs=3
Data Steward,Citi,"Mississauga, ON","Posted
Posted 5 days ago","Extremely proficient in SQL queries, data analysis and profiling, data quality monitoring rules and data quality issues resolution.",https://ca.indeed.com/rc/clk?jk=c4127fc920252870&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Scientist - Customer Insights Data & Analytics,Scotiabank,"Toronto, ON","Posted
Today","Ingest massive volumes of structured and unstructured format data, model, transform and store it in a variety of data stores.",https://ca.indeed.com/rc/clk?jk=691b75ebf39de71c&fccid=3002307a9e5b4706&vjs=3
Data Scientist,Knowtions Research Inc. o/a Lydia AI,"Toronto, ON","Posted
Posted 7 days ago",Combine expert knowledge of statistical methodology and analysis with advanced programming skills to perform exploratory data analysis to uncover patterns in…,https://ca.indeed.com/company/Knowtions-Research/jobs/Data-Scientist-0809ead016de0e67?fccid=577bda31d98bdd7c&vjs=3
Financial Data Exploitation Analyst,Canadian Security Intelligence Service,"Ottawa, ON","Posted
Posted 2 days ago","Experience in the analysis or exploitation of financial data.
Experience conducting analysis with financial analysis software or with Microsoft Excel using…",https://ca.indeed.com/rc/clk?jk=76a2ac9a60aacc46&fccid=19150974fd7b2a28&vjs=3
Quality Data Analyst,Lululemon,"Vancouver, BC","Posted
Posted 1 day ago","Partner with other teams in researching nature of data collected and investigating data integrity issues.
Advanced data analysis skills are mandatory in Excel…",https://ca.indeed.com/rc/clk?jk=27e5b76b36e5bb2a&fccid=43f0f7dbd55927e9&vjs=3
Data Engineer,Royal Bank of Canada,"Calgary, AB
+1 location","Posted
Posted 3 days ago",Supports the development and maintenance of scalable data stores that supply big data in forms needed for business analysis.,https://ca.indeed.com/rc/clk?jk=96e2f3fc7fe2dbf5&fccid=537b899e30af3338&vjs=3
Data Scientist,Royal Bank of Canada,"Toronto, ON","Posted
Posted 6 days ago","Validate and quantify accuracy and precision of analysis.
2+ years of experience in Machine-Learning, data mining and statistics.",https://ca.indeed.com/rc/clk?jk=8c2f6eaf051eeef2&fccid=537b899e30af3338&vjs=3
Data Management Winter Intern 2023 ( Jan- April),Unilever,"Toronto, ON","Posted
Posted 17 days ago","Strong capability of data analysis.
The successful candidate should be able to process, input, organize and categorize large data on Microsoft Apps.",https://ca.indeed.com/rc/clk?jk=bce386ab3928dd6c&fccid=37e886222e0cbb3a&vjs=3
"Senior Analyst, Data and Analytics",Ontario Health,Ontario,"Posted
Posted 20 days ago","Minimum 3 years of experience working with health care data, quantitative analysis, and reporting applications.
Employment Type: Permanent Full time.",https://ca.indeed.com/rc/clk?jk=cf3c9a09752d8107&fccid=942edb5b2679caa0&vjs=3
data scientist,AIRUDI INC.,"Remote in Montréal, QC","Posted
Posted 2 days ago","Research and document data requirements, data collection and administration policy, and data access rules.
Mapping and data visualization software.",https://ca.indeed.com/rc/clk?jk=569fb8d725138420&fccid=cba3f64a03ef0514&vjs=3
Data Analyst,Royal Bank of Canada,"Toronto, ON","Posted
Posted 1 day ago","Manage data attributes related to regulatory data initiatives.
Review of exception queues - perform root cause analysis.
1 – 2 years relevant experience.",https://ca.indeed.com/rc/clk?jk=87a3b987ac0320ae&fccid=537b899e30af3338&vjs=3
Epidemiologists,Public Service Commission of Canada,Canada,"Posted
Posted 1 day ago","Experience in working with large data sets and performing data analysis.
Experience in conducting risk assessments or risk analysis.",https://ca.indeed.com/rc/clk?jk=27df4299e69f6681&fccid=5a173c067166ed66&vjs=3
Junior Data Engineer,TELUS,"Toronto, ON","Posted
Posted 21 days ago","Strong data analysis skills (SQL).
A degree and/or relevant experience working with data, databases or data pipelines.
A passion for data quality.",https://ca.indeed.com/rc/clk?jk=84addff6affcdbb5&fccid=ed81336789a877c2&vjs=3
"Analyst, Data Management",QuadReal Property Group,"Toronto, ON","Posted
Posted 21 days ago","Proficient in data wrangling and building automation scripts using SQL, Excel, or similar.
Reporting to the Enterprise Content Management (ECM) Lead, the…",https://ca.indeed.com/rc/clk?jk=dacffba395471c88&fccid=4c0dd9bbeab79d21&vjs=3
"Lead, Data and Analytics",Ontario Health,Ontario,"Posted
Posted 1 day ago","Inform and contextualize primary Ontario data analysis using peer-reviewed research and grey literature.
Map recommended indicators to existing data sources and…",https://ca.indeed.com/rc/clk?jk=9df500c23cca8a06&fccid=942edb5b2679caa0&vjs=3
Data Analyst,Elections Ontario,"Toronto, ON","Posted
Posted 10 days ago","Perform quality control checks on register data, validate and correct data on an on-going basis, while ensuring data integrity, confidentiality, and security.",https://ca.indeed.com/company/Elections-Ontario/jobs/Data-Analyst-3f6dfe73936043a6?fccid=d2a5f73ca2ac8b70&vjs=3
Data Engineer,KPMG,"Toronto, ON","Posted
Posted 30+ days ago","Architect data pipelines to support streaming data, batch data, etc.
Independent ability to review the data quality and data definitions, and perform data…",https://ca.indeed.com/rc/clk?jk=24b239c04294ec7f&fccid=2dd390c3a48a7ed0&vjs=3
Data Analyst,SickKids,"Toronto, ON","Posted
Posted 1 day ago","Formulation of data analysis plans.
Evidence of advanced quantitative health data analysis skills, including coursework and practical experience.",https://ca.indeed.com/rc/clk?jk=4fca78e99eeaae08&fccid=9645047fb7b1d4e3&vjs=3
Data Analyst,HUB International,"Toronto, ON","Posted
Posted 30+ days ago",Devise processes for data collection and monitoring to uphold data integrity; reconcile data from a number of sources.,https://ca.indeed.com/rc/clk?jk=9a7123461a1bd3a5&fccid=facab5dee1aa0a96&vjs=3
Data Warehouse Analyst,TransLink,"Metro Vancouver Regional District, BC","Posted
Posted 30+ days ago","Requires three (3) years recent related experience in data warehousing, business intelligence, information management or analytics.",https://ca.indeed.com/rc/clk?jk=fb971dfd4807e48d&fccid=966bd00de3e8ab9d&vjs=3
Data Scientist,Rakuten,"Toronto, ON","Posted
Posted 6 days ago","Experience with data preprocessing and validation.
Knowledge of data engineering best practices.
Hands on experience developing & deploying data pipelines.",https://ca.indeed.com/rc/clk?jk=39a7d30a003163fc&fccid=b6f507a4eff51f27&vjs=3
Data Analyst,FedEx Supply Chain,"Coteau-du-Lac, QC","Posted
Posted 30+ days ago","Performs root-cause analysis on data, present findings and make recommendations.
The Analyst, Data II is part of a team that shares the responsibility for…",https://ca.indeed.com/rc/clk?jk=9c7c25b2b7635638&fccid=130b3e79d76146f6&vjs=3
Associate Consultant - Data & Analytics - Vancouver,Slalom Consulting,"Vancouver, BC","Posted
Posted 3 days ago","Bachelor’s Degree and demonstrated ability in data analytics, data engineering, software engineering, data analysis, or equivalent professional experience in…",https://ca.indeed.com/rc/clk?jk=b21a48ef41979264&fccid=a321096b9f1b3c50&vjs=3
Data Analyst,"Computer Generated Solutions, Inc. - Canada","Saint John, NB","Posted
Today","Comfortable working with large volumes of data and connecting disparate data source.
Prepare and distribute daily, weekly, monthly, and quarterly analysis to…",https://ca.indeed.com/rc/clk?jk=66f5df82058826a9&fccid=82fe070756cef957&vjs=3
ISL 24R - Data Solutions Specialist,BC Public Service,"Victoria, BC","Posted
Posted 22 days ago","To provide data analysis, data design, data modeling and data quality services.
The branch is responsible for the development and implementation of a strategic…",https://ca.indeed.com/rc/clk?jk=ecb51b7d814046ea&fccid=65dd05622a756445&vjs=3
Data Analyst (Hybrid),Xylem,"Remote in Mississauga, ON
+2 locations","Posted
Posted 6 days ago","Experience in non-destructive testing data collection and data analysis desirable.
Produce technical reports based on the analysis of an electromagnetic data…",https://ca.indeed.com/rc/clk?jk=439975af2fa7fea1&fccid=68ec8a8ee6cf5ac6&vjs=3
Scientific Data Specialist,University of Victoria,"Victoria, BC","Posted
Posted 2 days ago","Experience developing data products using computational and data analysis/visualization packages such as Matlab, R, IDL and Mathematica or their public domain…",https://ca.indeed.com/rc/clk?jk=69b72a62e135920f&fccid=95737967a35b2629&vjs=3
SQL Developer - Data Analyst,Cognizant Technology Solutions,"Remote in Mississauga, ON","Posted
Posted 20 days ago","Perform analysis of system data to identify patterns, exceptions, and erroneous data.
Investigate Manuplitaion of System data.
Hands on experience in SQL Query.",https://ca.indeed.com/rc/clk?jk=2cfab92db9552301&fccid=2df6a1e69a70a1e7&vjs=3
"Senior Data Analyst (Toronto, ON)",SSENSE,"Remote in Toronto, ON
+2 locations","Posted
Just posted","Collaborate with software/data architects, data engineers, business analysts, data scientists to drive key strategic data initiatives for the improvement of…",https://ca.indeed.com/rc/clk?jk=b51e6ff1625268b0&fccid=0ddad3766f834b33&vjs=3
Data Analyst (Community Services - Temporary Full Time,Region of Waterloo,"Waterloo, ON","Posted
Posted 8 days ago","Research, analytical, and project management skills to perform quality control/quality assurance functions (interpret, analyze, and calculate data); coordinate…",https://ca.indeed.com/rc/clk?jk=0fcc55c11ad66901&fccid=a3ec7975a36331e3&vjs=3
"Analyst, Strategy",Ontario Health,Ontario,"Posted
Posted 13 days ago","Strong research and analytical skills with a demonstrated ability to synthesize and visualize data and analysis into briefing materials, presentations and…",https://ca.indeed.com/rc/clk?jk=76b99974faffee24&fccid=942edb5b2679caa0&vjs=3
"Intern, Cyber Security & Privacy",MNP,"Toronto, ON","Posted
Posted 6 days ago","Obtain, analyze and evaluate audit documentation, reports, data and flowcharts.
Assist in delivering industry and technical expertise in information security…",https://ca.indeed.com/rc/clk?jk=384e6140a755569a&fccid=b8ee7f714bcca05b&vjs=3
HS&E Data Analyst,Ledcor,"Vancouver, BC
+1 location","Posted
Posted 2 days ago","4 years in data analytics with a focus on understanding and application of various data mining, data modeling and forecasting techniques or comparable data…",https://ca.indeed.com/rc/clk?jk=3a1fd3ba99ebf7a7&fccid=858565e37a126a9f&vjs=3
Conservation Data and Research Intern,Sustainable Forestry Initiative,Canada,"Posted
Posted 30+ days ago","Intern will advance SFI’s mission by finding and preparing environmental data for analysis, updating existing.
An SFI-related research repository.",https://ca.indeed.com/rc/clk?jk=0431dcad27c57a99&fccid=ab47b0c27cfeb941&vjs=3
"Senior Analyst, Quality Assurance",Ontario Health,"Toronto, ON","Posted
Posted 30+ days ago","Excellent data analysis and problem-solving skills are necessary.
Writing positive, negative, smoke and regression test cases and creating corresponding test…",https://ca.indeed.com/rc/clk?jk=0e5b03f093a9dc49&fccid=942edb5b2679caa0&vjs=3
Data Analyst,Oilers Entertainment Group,"Edmonton, AB","Posted
Posted 7 days ago","Design and develop data engineering solutions (data virtualization, ETL/ELT) to make data available for a wide range of analytical uses.",https://ca.indeed.com/rc/clk?jk=88704bec54aaf247&fccid=73a7ce80a2c6e6f3&vjs=3
Policy Analyst,Ministry of Infrastructure,"Remote in Toronto, ON","Posted
Posted 2 days ago","You have experience conducting policy analysis, research, and quantitative and qualitative analysis.
Conduct research and analysis to support the development of…",https://ca.indeed.com/rc/clk?jk=f68ebf34dfc8c771&fccid=d84b317e68ad875e&vjs=3
Data Scientist,theScore Inc.,"Toronto, ON","Posted
Posted 3 days ago","Develop best practices for our internal data processes that include model building, insight development, and education of consumers to encourage a data-driven…",https://ca.indeed.com/rc/clk?jk=ac247ac9ea37e8e3&fccid=7b0a2583b65814e2&vjs=3
"Manager, Data Analysis and Reporting",Scotiabank,"Toronto, ON","Posted
Posted 7 days ago","Support in data management activities related to Finance FP&A such as data mapping, data quality/integrity testing, data analytics and data governance such as:",https://ca.indeed.com/rc/clk?jk=ecae68cf11423032&fccid=3002307a9e5b4706&vjs=3
APAC Growth Data Analyst Intern,Back Market,"Remote in Paris, ON","Posted
Posted 1 day ago","Accurate data leads to good decisions.
Build the data infrastructure (data collection + table creation + maintenance) you need to bring the KPIs to life.",https://ca.indeed.com/rc/clk?jk=2e0fba9daae01da4&fccid=6b098a8866d87552&vjs=3
Azure Data Engineer (*1 Year Contract*),CAPREIT,"Toronto, ON","Posted
Posted 30+ days ago",Work with data consumers to design and implement data solutions that support various analysis and to curate investment grade data.,https://ca.indeed.com/rc/clk?jk=c3f81274085dc463&fccid=b91683544db7de15&vjs=3
"Data Scientist, The Sims™",Electronic Arts,"Vancouver, BC","Posted
Posted 7 days ago","Evangelist for data democratization and empowerment of non-technical partners;
Derive actionable insights from data and communicate them throughout the…",https://ca.indeed.com/rc/clk?jk=5d9a2fe9bc1ddda0&fccid=617d7f961cfcf54a&vjs=3
"Data Analyst, Health Surveillance - BC Centre for Disease Co...",PHSA,"Vancouver, BC","Posted
Posted 13 days ago","Write data management and analysis programs using data programming tools such as SAS or R.
Monitor data quality in the information systems like the Public…",https://ca.indeed.com/rc/clk?jk=80e3a54d26dffa04&fccid=f66f721a44de3765&vjs=3
software designer,CROWN ACCOUNTING SERVICES INC,"Brampton, ON","Posted
Posted 30 days ago",Computer and technology knowledge File management software Visual Basic VB Script Visual C++ / MFC C# Desktop publishing software Database software Software…,https://ca.indeed.com/rc/clk?jk=baa46a06031e60a2&fccid=7a1b1ea9031b57de&vjs=3
Data Scientist Intern,Binance,Canada,"Posted
Posted 14 days ago","Obtain the blockchain based data to perform chain-based data analysis, prediction and recommendations.
Leverage of our PB-scale data warehouse to perform in…",https://ca.indeed.com/rc/clk?jk=5a48398aad3f73fb&fccid=ac2ee5578fa99fc9&vjs=3
Data Science Instructor,Metro College,"Toronto, ON","Posted
Posted 30+ days ago","You have solid knowledge in statistics, data mining, machine learning and big data.
Preparing teaching plans and teaching notes.
You have passion for education.",https://ca.indeed.com/rc/clk?jk=7316a33d6f56f7f2&fccid=d37dda027f827285&vjs=3
Student and CO-OP: Internal Audit and Evaluation,Canadian Security Intelligence Service,"Ottawa, ON","Posted
Posted 30+ days ago","Experience using Excel or statistical analysis tools.
Recent experience in analyzing qualitative and/or quantitative data.",https://ca.indeed.com/rc/clk?jk=9176ac87f7bbe435&fccid=19150974fd7b2a28&vjs=3
Data and Systems Analyst,University of Toronto,"Toronto, ON","Posted
Posted 10 days ago","Running queries to gather data and writing program scripts to analyze data.
Demonstrated knowledge and application of data analysis methodology, including…",https://ca.indeed.com/rc/clk?jk=ca89725493c1de3a&fccid=986361104086c3ae&vjs=3
"Data Scientist, Data, Analytics, Evaluation and Reporting (d...",BC Women's Hospital,"Vancouver, BC","Posted
Posted 25 days ago","Employs a variety of modeling and data analysis techniques, and utilizes knowledge of the operations and care delivery to build realistic models.",https://ca.indeed.com/rc/clk?jk=a6bba3d3d2f3b5ef&fccid=11073cf15d6ddd0a&vjs=3
Data Analyst / Consultant (Fire / EMS),Darkhorse Emergency,"Remote in Edmonton, AB","Posted
Posted 20 days ago","Data cleaning and summary analysis.
Validating findings and stories in the data.
Gathering and interpreting Fire and EMS data.",https://ca.indeed.com/rc/clk?jk=0f456222af0a8f12&fccid=8064dc33e3a7ad50&vjs=3
Cybersecurity Consultant,EY,"Remote in Toronto, ON
+1 location","Posted
Posted 19 days ago","Executing procedures, performing detailed data analysis, reaching conclusions, documenting results and suggesting ideas for efficiencies.",https://ca.indeed.com/rc/clk?jk=9ba6c2aca9b5d57c&fccid=1544766d4c2915b0&vjs=3
Data Steward I,TD Bank,"Toronto, ON","Posted
Just posted","Skill in using software tools, applications, data analysis methods.
Participate in cross-functional/enterprise initiatives by conducting research and analysis…",https://ca.indeed.com/rc/clk?jk=212db45f61a0b392&fccid=d7114f1cac8d0711&vjs=3
Data Quality Analyst,SkyHive Technologies Inc.,"Vancouver, BC","Posted
Posted 15 days ago","Your strong data analysis skills will ensure clean data that can be enacted upon by analytic systems and application code, thereby maintaining our high-quality…",https://ca.indeed.com/company/SkyHive-Technologies-Inc./jobs/Data-Quality-Analyst-5b6d5fa78b5ae8ff?fccid=4a1dc72d5148c33a&vjs=3
software tester,COHASH IT SERVICES INC.,"Burnaby, BC","Posted
Posted 4 days ago","Mapping and data visualization software.
Develop and document software testing plans.
Install software and hardware and configure operating system software in…",https://ca.indeed.com/rc/clk?jk=08a9b23f25f6ef7b&fccid=7585b4b0c56fc7ff&vjs=3
Data Engineer,PC Financial,"Toronto, ON","Posted
Posted 27 days ago","Perform data profiling and source to target mapping analysis for the best design.
Design large scale streaming and batch data pipelines (billions of data points…",https://ca.indeed.com/rc/clk?jk=fe3e9d3c2703ad38&fccid=65597b61c24cfc84&vjs=3
"Specialist, Performance, Accountability & Funding Allocation...",Ontario Health,"Ontario
+1 location","Posted
Just posted","Assists in the development of OH performance reports by ensuring and completing appropriate data analysis, data interpretation, and feedback incorporation from…",https://ca.indeed.com/rc/clk?jk=ebbdb3c9407b8d84&fccid=942edb5b2679caa0&vjs=3
database analyst,Analytico,"Calgary, AB","Posted
Posted 28 days ago","Research and document data requirements, data collection and administration policy, and data access rules.
Operate database management systems to analyze data.",https://ca.indeed.com/rc/clk?jk=82934f0e2f258625&fccid=e2eb93aeb02f5331&vjs=3
Senior Consultant - Data Analyst,KPMG,"Toronto, ON","Posted
Posted 30+ days ago","Experience in data governance, data quality, data processing, and data controls.
Independent ability to review the data quality and data definitions and perform…",https://ca.indeed.com/rc/clk?jk=4b9fc89fde3b8f30&fccid=2dd390c3a48a7ed0&vjs=3
"Manager, Bus Garage Operations",Metrolinx,Canada,"Posted
Today","Leads the effective utilization of the asset management system to ensure high integrity of data inputted into the system, generation of useful daily and weekly…",https://ca.indeed.com/rc/clk?jk=8564c32f2b649db5&fccid=d414f1d26cf29ec6&vjs=3
"Student Intern, Smart Energy - Pricing Management and Produc...",Celestica,"Toronto, ON","Posted
Posted 30+ days ago","Advanced proficiency in various Microsoft products, particularly Vlookups, indexing, pivot tables and data analysis in Excel.",https://ca.indeed.com/rc/clk?jk=bca3122d3e83eb3c&fccid=e7e593a18b26fee3&vjs=3
Data Analyst,Sanofi US,"Toronto, ON","Posted
Posted 30+ days ago","Requires strong experience as a Data Analyst, including data manipulation and data analysis.
Manage data analysis and user requirements, focusing on data and…",https://ca.indeed.com/rc/clk?jk=04493de24a1897cb&fccid=5d3ed74ca4598964&vjs=3
Data Scientist - Consumer Lifecycle,Carfax,"Remote in London, ON","Posted
Posted 1 day ago","Provide data and analysis support for A/B testing and personalization efforts.
Collaborate closely with data architects and engineers to ensure data…",https://ca.indeed.com/rc/clk?jk=eba2956ff675afb5&fccid=2e34fbb9cb2e96bf&vjs=3
Senior QA Engineer (Canada),EAB,Remote in Canada,"Posted
Posted 8 days ago","Help create test data sets which fully exercise data validation and end-to-end system functionality.
Knowledge of higher education data and/or University IT…",https://ca.indeed.com/rc/clk?jk=eb96c9201898c916&fccid=a168335bbdcce5e0&vjs=3
"Analyst, Data Operations",BC IMC,"Victoria, BC","Posted
Posted 1 day ago","Experience with data vendor relationships and data governance is highly desirable.
Experience with master data management, data quality, and exception handling.",https://ca.indeed.com/rc/clk?jk=c7f3aac199182c9d&fccid=879f4295fa640f4b&vjs=3
